Candidate,Depth,Prompt,Best Iteration,Best Response Number,Rank of Best Response
candidates5,depth1,review2015_fsmseq,1,1,1.0
candidates5,depth1,lfsr32,1,0,0.00013735886376747892
candidates5,depth1,ece241_2014_q1c,0,3,1.0
candidates5,depth1,7420,0,1,1.0
candidates5,depth1,rule90,0,3,1.0
candidates5,depth1,circuit4,1,2,0.6859504132231405
candidates5,depth1,review2015_fancytimer,1,1,0.05971195215908463
candidates5,depth1,fsm_ps2,1,4,0.8275
candidates5,depth1,countbcd,1,0,0.0011807561864087426
candidates5,depth1,thermostat,0,4,1.0
candidates10,depth3,review2015_fsmseq,2,3,0.9595645412130638
candidates10,depth3,lfsr32,0,8,0.00013735886376747892
candidates10,depth3,ece241_2014_q1c,0,2,1.0
candidates10,depth3,7420,0,2,1.0
candidates10,depth3,rule90,0,0,1.0
candidates10,depth3,circuit4,2,6,1.0
candidates10,depth3,review2015_fancytimer,0,1,0.004795134361448649
candidates10,depth3,fsm_ps2,3,7,0.83
candidates10,depth3,countbcd,3,5,0.0011305112423062428
candidates10,depth3,thermostat,0,5,1.0
candidates10,depth1,review2015_fsmseq,1,0,0.9813374805598756
candidates10,depth1,lfsr32,0,9,0.00013735886376747892
candidates10,depth1,ece241_2014_q1c,0,3,1.0
candidates10,depth1,7420,0,5,1.0
candidates10,depth1,rule90,0,4,1.0
candidates10,depth1,circuit4,1,8,0.768595041322314
candidates10,depth1,review2015_fancytimer,1,9,0.05146381138855029
candidates10,depth1,fsm_ps2,1,0,0.77
candidates10,depth1,countbcd,0,8,0.0007787966335887452
candidates10,depth1,thermostat,0,5,1.0
candidates10,depth0,review2015_fsmseq,0,7,0.8755832037325039
candidates10,depth0,lfsr32,0,5,0.00013735886376747892
candidates10,depth0,ece241_2014_q1c,0,7,1.0
candidates10,depth0,7420,0,8,1.0
candidates10,depth0,rule90,0,7,1.0
candidates10,depth0,circuit4,0,0,0.71900826446281
candidates10,depth0,review2015_fancytimer,0,0,0.062260296372432015
candidates10,depth0,fsm_ps2,0,9,0.83
candidates10,depth0,countbcd,0,0,0.0007787966335887452
candidates10,depth0,thermostat,0,8,1.0
candidates3,depth10,review2015_fsmseq,9,1,0.8755832037325039
candidates3,depth10,lfsr32,5,1,0.00013735886376747892
candidates3,depth10,ece241_2014_q1c,0,0,1.0
candidates3,depth10,7420,0,2,1.0
candidates3,depth10,rule90,0,0,1.0
candidates3,depth10,circuit4,0,0,1.0
candidates3,depth10,review2015_fancytimer,4,0,0.004795134361448649
candidates3,depth10,fsm_ps2,10,0,0.8
candidates3,depth10,countbcd,10,2,0.003341288782816229
candidates3,depth10,thermostat,1,1,1.0
candidates5,depth15,rule90,8,0,1.0
candidates5,depth10,review2015_fsmseq,5,3,0.9486780715396579
candidates5,depth10,lfsr32,1,4,0.00013735886376747892
candidates5,depth10,ece241_2014_q1c,0,2,1.0
candidates5,depth10,7420,0,0,1.0
candidates5,depth10,rule90,0,4,1.0
candidates5,depth10,circuit4,3,2,1.0
candidates5,depth10,review2015_fancytimer,2,2,0.004922551572116018
candidates5,depth10,fsm_ps2,3,0,0.79
candidates5,depth10,countbcd,8,0,0.004094962944353724
candidates5,depth10,thermostat,0,3,1.0
candidates1,depth10,review2015_fsmseq,10,0,0.6283048211508554
candidates1,depth10,lfsr32,4,0,0.00013735886376747892
candidates1,depth10,ece241_2014_q1c,1,0,1.0
candidates1,depth10,7420,3,0,0.401673640167364
candidates1,depth10,rule90,1,0,0.08355568038196882
candidates1,depth10,circuit4,8,0,0.6446280991735537
candidates1,depth10,review2015_fancytimer,9,0,0.004795134361448649
candidates1,depth10,fsm_ps2,8,0,0.775
candidates1,depth10,countbcd,5,0,0.0007787966335887452
candidates1,depth10,thermostat,1,0,1.0
candidates1,depth5,review2015_fsmseq,0,0,0.5381026438569206
candidates1,depth5,lfsr32,5,0,0.00013735886376747892
candidates1,depth5,ece241_2014_q1c,1,0,0.4224137931034483
candidates1,depth5,7420,0,0,1.0
candidates1,depth5,rule90,1,0,0.008847072040443759
candidates1,depth5,circuit4,3,0,0.7520661157024794
candidates1,depth5,review2015_fancytimer,2,0,0.004795134361448649
candidates1,depth5,fsm_ps2,5,0,0.425
candidates1,depth5,countbcd,4,0,2.512247205124984
candidates1,depth5,thermostat,5,0,1.0
candidates10,depth10,review2015_fsmseq,8,7,0.8942457231726283
candidates10,depth10,lfsr32,0,9,0.00013735886376747892
candidates10,depth10,ece241_2014_q1c,1,2,1.0
candidates10,depth10,7420,0,7,1.0
candidates10,depth10,rule90,0,7,1.0
candidates10,depth10,circuit4,9,4,1.0
candidates10,depth10,fsm_ps2,10,9,0.8275
candidates10,depth10,countbcd,5,5,0.0037934932797387263
candidates10,depth10,thermostat,0,2,1.0
candidates3,depth5,review2015_fsmseq,0,0,0.7340590979782271
candidates3,depth5,lfsr32,2,1,1.0
candidates3,depth5,ece241_2014_q1c,1,0,1.0
candidates3,depth5,7420,0,1,1.0
candidates3,depth5,rule90,2,0,0.1543322567055189
candidates3,depth5,circuit4,4,2,1.0
candidates3,depth5,fsm_ps2,4,2,0.775
candidates3,depth5,countbcd,4,1,0.0007787966335887452
candidates3,depth5,thermostat,0,0,1.0
candidates5,depth3,review2015_fsmseq,2,3,0.9533437013996889
candidates5,depth3,lfsr32,0,4,0.00013735886376747892
candidates5,depth3,ece241_2014_q1c,1,0,1.0
candidates5,depth3,7420,0,3,1.0
candidates5,depth3,rule90,0,2,1.0
candidates5,depth3,circuit4,0,1,0.6859504132231405
candidates5,depth3,review2015_fancytimer,1,1,0.004795134361448649
candidates5,depth3,fsm_ps2,3,1,0.775
candidates5,depth3,countbcd,3,2,0.003341288782816229
candidates1,depth3,review2015_fsmseq,3,0,0.7278382581648523
candidates1,depth3,lfsr32,1,0,0.00013735886376747892
candidates1,depth3,7420,1,0,1.0
candidates1,depth3,rule90,3,0,0.08158966437298132
candidates1,depth3,circuit4,0,0,0.3140495867768595
candidates1,depth3,review2015_fancytimer,2,0,0.04621422230905469
candidates1,depth3,fsm_ps2,2,0,0.765
candidates1,depth3,countbcd,2,0,2.512247205124984
candidates1,depth3,thermostat,1,0,1.0
candidates1,depth1,review2015_fsmseq,1,0,0.7278382581648523
candidates1,depth1,lfsr32,0,0,0.00013735886376747892
candidates1,depth1,7420,0,0,1.0
candidates1,depth1,circuit4,0,0,0.5206611570247934
candidates1,depth1,fsm_ps2,1,0,0.3925
candidates1,depth1,countbcd,1,0,0.48368295440271325
candidates1,depth1,thermostat,1,0,0.7701612903225806
candidates5,depth0,review2015_fsmseq,0,4,0.8195956454121306
candidates5,depth0,lfsr32,0,0,0.00013735886376747892
candidates5,depth0,ece241_2014_q1c,0,1,1.0
candidates5,depth0,7420,0,2,1.0
candidates5,depth0,rule90,0,4,1.0
candidates5,depth0,circuit4,0,1,0.743801652892562
candidates5,depth0,review2015_fancytimer,0,3,0.004795134361448649
candidates5,depth0,fsm_ps2,0,4,0.3625
candidates5,depth0,countbcd,0,1,0.0007787966335887452
candidates5,depth0,thermostat,0,4,1.0
candidates3,depth1,review2015_fsmseq,1,1,0.8569206842923794
candidates3,depth1,lfsr32,1,1,0.00013735886376747892
candidates3,depth1,ece241_2014_q1c,0,0,1.0
candidates3,depth1,7420,0,2,1.0
candidates3,depth1,rule90,0,2,0.08158966437298132
candidates3,depth1,circuit4,1,2,0.5619834710743802
candidates3,depth1,review2015_fancytimer,1,2,0.06729752343414866
candidates3,depth1,countbcd,0,0,2.512247205124984
candidates3,depth1,thermostat,0,2,0.532258064516129
candidates3,depth3,review2015_fsmseq,0,1,0.9533437013996889
candidates3,depth3,lfsr32,1,0,0.00013735886376747892
candidates3,depth3,ece241_2014_q1c,0,1,1.0
candidates3,depth3,7420,2,2,0.0
candidates3,depth3,rule90,3,2,0.009127931470299114
candidates3,depth3,circuit4,1,2,1.0
candidates3,depth3,review2015_fancytimer,3,1,0.004795134361448649
candidates3,depth3,fsm_ps2,3,0,0.745
candidates3,depth3,countbcd,2,2,0.0037934932797387263
candidates3,depth3,thermostat,0,2,1.0
candidates10,depth5,review2015_fsmseq,1,7,0.9129082426127527
candidates10,depth5,lfsr32,1,6,0.00013735886376747892
candidates10,depth5,ece241_2014_q1c,0,0,1.0
candidates10,depth5,7420,0,7,1.0
candidates10,depth5,rule90,0,3,1.0
candidates10,depth5,circuit4,0,2,1.0
candidates10,depth5,review2015_fancytimer,5,6,0.1380310643159607
candidates10,depth5,fsm_ps2,2,2,0.8625
candidates10,depth5,countbcd,4,7,0.003341288782816229
candidates10,depth5,thermostat,0,9,1.0
candidates3,depth0,review2015_fsmseq,0,0,0.9533437013996889
candidates3,depth0,lfsr32,0,0,0.00013735886376747892
candidates3,depth0,ece241_2014_q1c,0,0,1.0
candidates3,depth0,7420,0,0,1.0
candidates3,depth0,rule90,0,0,0.08158966437298132
candidates3,depth0,circuit4,0,2,0.6198347107438017
candidates3,depth0,review2015_fancytimer,0,2,0.002960326527838537
candidates3,depth0,fsm_ps2,0,0,0.835
candidates3,depth0,countbcd,0,2,0.0032407988946112297
candidates3,depth0,thermostat,0,2,1.0
candidates5,depth5,review2015_fsmseq,1,0,0.7744945567651633
candidates5,depth5,lfsr32,0,1,0.00013735886376747892
candidates5,depth5,ece241_2014_q1c,0,4,1.0
candidates5,depth5,7420,0,3,1.0
candidates5,depth5,rule90,3,2,1.0
candidates5,depth5,circuit4,1,1,1.0
candidates5,depth5,review2015_fancytimer,0,4,0.004795134361448649
candidates5,depth5,fsm_ps2,1,3,0.775
candidates5,depth5,countbcd,4,1,0.004145207888456224
candidates1,depth0,review2015_fsmseq,0,0,0.9533437013996889
candidates1,depth0,lfsr32,0,0,0.00013735886376747892
candidates1,depth0,rule90,0,0,0.008847072040443759
candidates1,depth0,circuit4,0,0,0.371900826446281
candidates1,depth0,review2015_fancytimer,0,0,0.004795134361448649
candidates1,depth0,countbcd,0,0,0.0007787966335887452
